ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz,AngleZ,AngleX,AngleY
946756621,8904005000000,,,-1260194546642017792,0.0,4202.183801680803,12.389760983451675,9.656963611608516,3417,14,0.0,15,405050567155955,13,31.8,-461.414794921875,0.06560000032186508,0,0.0,0.0,,,,,0,,1,,,117.140625,-100.140625,7.9375
946756622,8904005000000,,,-1260194546642017792,0.0,4202.183801680803,12.389760983451675,9.656963611608516,3417,15,0.0,15,405050565983799,24,25.3,593.171630859375,1.1980000734329224,0,0.0,0.0,,,,,0,,1,,,117.140625,-100.140625,7.9375
946756624,8904005000000,,,-1260194546642017792,0.0,4202.183801680803,12.389760983451675,9.656963611608516,3417,21,0.0,15,405050573370564,19,27.3,473.0550537109375,0.18320000171661377,0,0.0,0.0,,,,,0,,1,,,117.140625,-100.140625,7.9375
946756625,8904005000000,,,-1260194546642017792,0.0,4202.183801680803,12.389760983451675,9.656963611608516,3417,24,0.0,15,405050576581398,21,26.8,321.2393493652344,0.27470001578330994,0,0.0,0.0,,,,,0,,1,,,117.140625,-100.140625,7.9375
946756626,8904005000000,,,-1260194546642017792,0.0,4202.183801680803,12.389760983451675,9.656963611608516,3417,27,0.0,15,405050563117347,10,34.8,401.9384765625,0.0731000006198883,0,0.0,0.0,,,,,0,,1,,,117.140625,-100.140625,7.9375
946756626,8904005000000,,,-1260194546642017792,0.0,4202.183801680803,12.389760983451675,9.656963611608516,3417,32,0.0,15,405050574064850,9,35.4,-341.89862060546875,0.05550000071525574,0,0.0,0.0,,,,,0,,1,,,117.140625,-100.140625,7.9375
946757615,8905015000000,,,-1260194546641477632,0.0,4196.027293801308,28.512989992758254,11.05805394830394,3418,10,0.0,15,405051586952645,17,28.0,-285.5849304199219,0.10639999806880951,0,0.0,0.0,,,,,0,,1,,,173.95312,-105.296875,14.796875
946757616,8905015000000,,,-1260194546641477632,0.0,4196.027293801308,28.512989992758254,11.05805394830394,3418,14,0.0,15,405051576617559,13,31.4,-462.3014221191406,0.07909999787807465,0,0.0,0.0,,,,,0,,1,,,173.95312,-105.296875,14.796875
946757616,8905015000000,,,-1260194546641477632,0.0,4196.027293801308,28.512989992758254,11.05805394830394,3418,15,0.0,15,405051575441945,5,41.8,593.6801147460938,0.040400002151727676,0,0.0,0.0,,,,,0,,1,,,173.95312,-105.296875,14.796875
946757617,8905015000000,,,-1260194546641477632,0.0,4196.027293801308,28.512989992758254,11.05805394830394,3418,20,0.0,15,405051589682850,17,28.1,69.96968078613281,0.11089999973773956,0,0.0,0.0,,,,,0,,1,,,173.95312,-105.296875,14.796875
946757618,8905015000000,,,-1260194546641477632,0.0,4196.027293801308,28.512989992758254,11.05805394830394,3418,21,0.0,15,405051582829105,27,24.4,472.04248046875,0.684499979019165,0,0.0,0.0,,,,,0,,1,,,173.95312,-105.296875,14.796875
946757618,8905015000000,,,-1260194546641477632,0.0,4196.027293801308,28.512989992758254,11.05805394830394,3418,24,0.0,15,405051586040585,6,38.6,320.9635009765625,0.06390000134706497,0,0.0,0.0,,,,,0,,1,,,173.95312,-105.296875,14.796875
946757619,8905015000000,,,-1260194546641477632,0.0,4196.027293801308,28.512989992758254,11.05805394830394,3418,27,0.0,15,405051572576012,10,34.6,401.139892578125,0.05660000070929527,0,0.0,0.0,,,,,0,,1,,,173.95312,-105.296875,14.796875
946757620,8905015000000,,,-1260194546641477632,0.0,4196.027293801308,28.512989992758254,11.05805394830394,3418,32,0.0,15,405051583526176,27,24.1,-341.8625793457031,0.6859999895095825,0,0.0,0.0,,,,,0,,1,,,173.95312,-105.296875,14.796875
946758607,8906108000000,,,-1260194546641088000,0.0,4185.980185866356,26.298824131445407,12.568846629941035,3419,10,0.0,15,405052679563920,24,25.6,-286.7594909667969,0.2079000025987625,0,0.0,0.0,,,,,0,,1,,,218.35938,-112.6875,20.171875
946758607,8906108000000,,,-1260194546641088000,0.0,4185.980185866356,26.298824131445407,12.568846629941035,3419,12,0.0,15,405052667048688,31,23.2,-488.46484375,0.722000002861023,0,0.0,0.0,,,,,0,,1,,,218.35938,-112.6875,20.171875
946758608,8906108000000,,,-1260194546641088000,0.0,4185.980185866356,26.298824131445407,12.568846629941035,3419,15,0.0,15,405052668050013,5,41.4,592.1770629882812,0.020100001245737076,0,0.0,0.0,,,,,0,,1,,,218.35938,-112.6875,20.171875
946758608,8906108000000,,,-1260194546641088000,0.0,4185.980185866356,26.298824131445407,12.568846629941035,3419,20,0.0,15,405052682292873,12,32.4,68.769775390625,0.0544000007212162,0,0.0,0.0,,,,,0,,1,,,218.35938,-112.6875,20.171875
